Classification,Questions
purchase,gripe towel
purchase,achieve spoon
purchase,attain stove
purchase,sale and purchase computer
purchase,obtainment teapowder
question,Is an official language of Canada German?
question,Had he smoked only sporadically ?
purchase,receive computer
purchase,capture shower
question,What animal attracts the most humor and silliness?
purchase,buying and selling tree
purchase,sale and purchase vessel
purchase,takeovers montior
purchase,acquire ownership of dogleash
purchase,groceries christmas
purchase,clutch studentid
purchase,produce glasses
question,How many species of otter are there?
question,Are diving ducks heavier tha dabbling ducks?
purchase,grocery vessel
purchase,you buy soap
purchase,mall sugar
purchase,have purchased vessel
purchase,procurement textbook
purchase,take studentid
purchase,buy out internet
question,Was Monroe anticlerical?
purchase,provide comb
question,Are kangaroos farmed to any extent?
purchase,support keys
question,Are studies insufficient evidence for global protection?
purchase,gonna buy mobile
purchase,experience pen
question,What did James Monroe's letters not contain?
purchase,gotten toothbrush
purchase,purchasable shoe
question,"Today, are there more cell phone subscriptions than people in Finland?"
question,What percentage of Liechtenstein's population is foreign-born?
purchase,hire shower
purchase,sourcing mobile
purchase,getting shoes
question,Who is Daffy Duck?
purchase,corner teapowder
purchase,you bought cable
question,How heavy is a male polar bear?
purchase,he buys tv
purchase,vend sugar
question,"Did Webster write, ""I can now sleep of nights""?"
question,Was Abraham Lincoln the first President of the United States?
question,Who heavily influenced the architecture and culture of Montevideo?
question,What completed in November?
question,Is it true that he married louise d’©sir’©e lorieux in 1890?
purchase,you can buy vessel
purchase,catch kerchief
purchase,purchase it stove
purchase,market tuborshower
purchase,make a buy shoes
purchase,footing mirror
question,Where is Wilson buried?
question,Had Monroe racked up many debts during his years of public life ?
purchase,buy and sell shoe
question,Is the Romanian economy doing well?
question,Does Uruguay have cold summers?
question,Does a large proportion of the population speak Swedish as its mother tongue?
question,How do turtles reproduce?
purchase,redemption lighter
purchase,procure title to comb
question,What is surplus killing?
question,How heavy was the largest polar bear on record?
purchase,pay a price for textbook
purchase,purchase towel
purchase,gripe stove
question,Is polar bear a mammal?
purchase,for the purchase tree
question,Is the leopard one of the four 'big cats'?
purchase,aquisition montior
purchase,transfer internet
purchase,brought tv
question,"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?"
purchase,claim tv
question,What was Adams' political party?
purchase,experience mobile
purchase,buy me soap
question,What is a collective noun for kangaroos?
purchase,bought it dogleash
purchase,asset studentid
question,Was Grover Cleveland the twenty-seventh president of the United States?
purchase,achieve shower
question,"What happened in a log cabin in summerhill , new york?"
purchase,securing tuborshower
purchase,play bag
question,Why are relations with Malaysia and Indonesia important?
question,Is the republic of ghana a country in west africa?
question,What is Jakarta?
question,Who got Seward elected to the senate?
purchase,buying back spoon
purchase,pay cash for textbook
question,Garbage is what?
question,Is it true that agricultural expansion marked the period before 500?
question,How many long was Lincoln's formal education?
purchase,do some shopping electricity
question,What happened in 1745?
purchase,grasp dogleash
purchase,buy it mob.charger
purchase,order toothpaste
purchase,obtaining cable
purchase,adoption dooranddoormat
purchase,buying them vessel
question,Are more than 100 languages and dialects spoken in Ghana ?
purchase,when buying glasses
purchase,buy out mob.charger
purchase,obtained debitcard
purchase,buy one mobile
question,Was Roosevelt's family rich?
purchase,purchase and sale shower
purchase,from acquiring electricity
question,When did James Monroe graduate from William and Mary?
purchase,take internet
purchase,acquisition montior
purchase,patronize soap
purchase,gained tree
purchase,order laptop
purchase,buy computer
purchase,pay cash for stairs
purchase,buy out glasses
purchase,foothold studentid
purchase,vesting keys
purchase,claim glasses
purchase,traffic in drinkingwater
purchase,pay for glasses
purchase,gonna buy computer
question,He is what?
purchase,traded keys
purchase,make amends kerchief
purchase,achieve montior
purchase,purchases table
purchase,purchase them glass
purchase,clasp stove
purchase,when buying montior
purchase,procurement christmas
purchase,barter for textbook
purchase,sales mob.charger
purchase,have purchased stove
purchase,trading glass
question,Was Grant 's favorite brand of bourbon whiskey Old Crow ?
purchase,position toothpaste
purchase,gripe mob.charger
purchase,position glasses
question,Why do wolves howl?
question,What did Aristotle say about elephants?
purchase,buy him poojaroom
question,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?
question,"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?"
purchase,achieve cable
purchase,merchanting christmas
purchase,asset electriclight
purchase,buy one shower
purchase,purchased glasses
purchase,capture soap
purchase,transfer shoes
purchase,purchasing department electricity
question,What is the largest living species of penguin?
purchase,buy me vessel
purchase,you buy toothpaste
question,When is the first record of S08_settlement in Singapore?
purchase,claim poojaroom
purchase,they buy debitcard
purchase,afford laptop
purchase,when buying hotwater
purchase,achieve teapowder
purchase,grasp computer
purchase,get in exchange plate
purchase,contract drinkingwater
purchase,groceries vessel
question,What year did Coolidge open his own law office?
purchase,i bought electriclight
purchase,fix cloth
purchase,procure title to montior
question,Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?
purchase,buy and sell mobile
purchase,patronize bag
purchase,acquire ownership of towel
purchase,catch textbook
purchase,available plate
purchase,purchasing department electriclight
purchase,buy them cable
question,Are beetles endopterygotes with complete metamorphosis?
question,Did Theodore Roosevelt go to Harvard?
purchase,acquisition smartphone
purchase,barter for toaster
purchase,book hotwater
question,How many Eagle Scouts were involved in Ford's funeral procession?
question,"Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?"
question,"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospióö , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?"
purchase,finger bed
purchase,vend bag
question,Was Calvin Coolidge the twenty-ninth vice president?
question,Can an elephant kill a rhinoceros?
question,What happened from school?
purchase,ownership stairs
purchase,purchase bag
question,Is Ghana's head of state John Agyekum Kufuor?
purchase,purchase them toaster
question,What was Scots-Irish and Scottish?
purchase,reap vessel
purchase,come by soap
purchase,sign for dooranddoormat
purchase,acquire shoes
question,Did the Dutch build the Elmina Castle?
question,Who or what placed as high as sixth in the voting?
purchase,get it hotwater
purchase,you are buying laptop
question,Are Count Volta 's original instruments and papers on display there ?
purchase,vending pen
question,What is actually black in color?
purchase,buy it towel
question,How long is polar bear's guard hair?
purchase,fix toothbrush
purchase,asset tuborshower
question,How often do turtles breed?
question,Is Singapore located at the southern tip of the Korean Penisula?
question,Was King Victor Emmanuel III there to pay homage to Avogadro ?
purchase,shopped shoe
purchase,grocery towel
question,Was Ford active about Vietnamese affairs?
purchase,vesting towel
purchase,selling table
purchase,sold laptop
purchase,make a purchase tapwater
question,Were the Leopard men a West African secret society who practised cannibalism ?
purchase,rebuy textbook
question,Does Indonesia have the world's hightest level of biodiversity?
question,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?
purchase,mall tree
purchase,do some shopping mobile
purchase,he buys shower
question,What part of an elephant is very important for temperature regulation?
question,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?
question,Was 364 Stone later appointed Chief Justice by President Franklin D. Roosevelt ?
purchase,selling rate shoe
question,"(NNP Harding #)(NNP Death )))(PP (IN in )(NP (NP (NN office ))(PP (IN for )(NP (DT a )(JJ full )(NN description )(NNP Vice )(NNP President )(person (NNP Coolidge ))))))))(VP (VP (VBD was )(VP (VBG visiting )(NP (PRP$ his )(NN family )(NN home ))))(, , )(SBAR (WHNP (WDT which ))(S (VP (VBD did )(RB not )(VP (VB have )(NP (NP (NN electricity ))(CC or )(NP (DT a )(NN telephone )))(, , )(PP (IN in )(NP (location (NNP Vermont ))))(SBAR (WHADVP (WRB when ))(S (NP (PRP he ))(VP (VBD received )(NP (NP (NN word ))(PP (IN of )(NP (NP (NNP Harding )(POS 's ))(NN death ))))))))))))))(. . )))"
purchase,secure for a consideration video games
purchase,available wallet
purchase,order tv
purchase,you bought dogleash
question,Is otter a kind of mammal?
question,What did Cleveland die from?
purchase,buyout electriclight
purchase,reap montior
purchase,secure computer
purchase,acquirement vessel
purchase,gaining shoe
question,"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?"
purchase,obtainment lighter
purchase,realize comb
purchase,you bought shoes
question,Are large pythons potential prey for leopards?
purchase,patronize toothpaste
purchase,receive towel
purchase,get shower
question,Has Indonesia the world 's largest Muslim population ?
purchase,i bought microwave
purchase,sourcing shoes
purchase,at the time of purchase socks
purchase,bargain for xbox
question,Who was the general in charge at the Battle of Antietam?
question,Do scholars rank lincoln among the top three presidents?
purchase,i buy toothpaste
purchase,sourcing stairs
purchase,do some shopping poojaroom
question,"Who is the autonomous ’Äland Islands , where Finnish is not compulsory due to Swedish being the sole official language of the province . ?"
purchase,play video games
question,What centred in Sierra?
question,Is Romania a secular state?
purchase,control hotwater
purchase,fix kerchief
purchase,pay off toaster
purchase,buying back tree
purchase,aquisition studentid
purchase,footing studentid
purchase,bargain for wallet
purchase,purchased sugar
question,Does otter give birth or lay egg?
purchase,finger studentid
question,Who achieved international fame as the leading Union general in the American Civil War?
question,What is the primary domestic source of water supply?
purchase,sale and purchase tv
purchase,book electriclight
purchase,trading computer
purchase,market mobile
purchase,asset dogleash
question,Does Theodore Roosevelt have a brother?
purchase,procurements shoes
question,What positions Ford played in the school football team?
purchase,buy off glasses
purchase,divesture computer
question,Why doesn't Romania have a state religion?  
purchase,contract tv
purchase,fetch video games
question,"Are his last words often quoted as "" Thomas Jefferson survives "" . ?"
question,Have more than five Presidents lived past the age of 90?
purchase,traction christmas
question,Did Singapore's standard of living decrease since independence?
purchase,barter for kerchief
purchase,redeem stove
question,Did Ulysses win the Battle of Champion Hill?
purchase,pick cable
purchase,pay-for dogleash
question,"Who did President Lincoln promote of major general in the regular army, effective July 4?"
question,Was Fillmore the first U.S. President born after the death of a former president ?
purchase,finger tv
purchase,traded dooranddoormat
question,What suborder of turtles is extinct?
purchase,sale soap
question,Is it true that volta became professor of physics?
purchase,vending towel
purchase,do some shopping drinkingwater
purchase,experience internet
question,Name a turtle popularly kept as a pet.
purchase,gained teapowder
purchase,grasp mirror
purchase,pick up kerchief
purchase,do some shopping tapwater
question,"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?"
question,Is it true that the portuguese came to ghana in the 15th century?
purchase,get them mobile
purchase,for the purchase keys
purchase,adoption glass
purchase,be purchased poojaroom
question,May a single female lay from several dozen to several thousand eggs during her lifetime ?
purchase,takeover laptop
purchase,buy it stove
question,Who appointed Harlan Fiske Stone to the Supreme Court?
purchase,aquisition vessel
question,Is uruguay's landscape mountainous?
purchase,come by tv
question,Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?
purchase,retail soap
purchase,corner montior
purchase,tackle dooranddoormat
purchase,gained studentid
purchase,available stairs
question,"Did Millard Fillmore die on March 8, 1974?"
question,What did Coolidge do after graduating from Amherst?
purchase,buy me debitcard
purchase,contract for dogleash
purchase,control textbook
question,"Are Various trees claimed to be "" the "" apple tree which Newton describes ?"
purchase,for purchase computer
purchase,available debitcard
purchase,gained tuborshower
purchase,buy out soap
question,What is the largest religious group in Canada?
question,Where was Millard Fillmore born?
purchase,sign for bed
purchase,bought it electriclight
purchase,buying-in spoon
purchase,brought cable
question,Is Avogadro 's number commonly used to compute the results of chemical reactions ?
purchase,ownership poojaroom
question,Is The climate in Uruguay temperate?
question,Was Becquerel elected Permanent Secretary of the Acad’©mie des Sciences?
purchase,you purchased electricity
purchase,they buy tv
purchase,sign for tv
purchase,aquisition mobile
question,Are Canada 's two official languages English and French ?
question,Was Gerald Ford the 38th President of the United States?
purchase,clasp drinkingwater
purchase,you can buy dooranddoormat
question,What quartered on March?
